Marine Recreational Information Program Query Results

Your Query Parameters:

·Query: MRIP CATCH TIME SERIES

·Year: 1981 - 2024

·Summary:ANNUAL

·Fishing Year: CALENDAR YEAR (JANUARY 1 - DECEMBER 31)

·Geographic Area: NORTH AND MID-ATLANTIC

·Species: BLACK SEA BASS                                                                                                                                                                                          

·Fishing Mode: ALL MODES COMBINED

·Fishing Area: ALL AREAS COMBINED

·Type of Catch: ALL CATCH TYPES (TYPE A, B1, and B2)

Information:

·NUMBERS OF FISH

MRIP does not support the use of estimates with a percent standard error above 50 and in those instances, recommends considering higher levels of aggregation (e.g., across states, geographic regions, or fishing modes).

Results from 1981-2017 contain estimates resulting from the full application of both the Access Point Angler Intercept Survey (APAIS) and Fishing Effort Survey (FES) calibration.

As of 2018 wave 1, all estimates of shore and private/rental boat fishing effort are now based on the FES.

MRIP estimates for Louisiana are not available after 2013. State produced estimates are available through the MRIP National Query. For more information on state run surveys and estimates, please click <a href='http://www.wlf.louisiana.gov/lacreel' target='_blank'>here</a>.

Estimates for Hawaii (prior to 2023) and Puerto Rico (prior to 2014) are based on Marine Recreational Fisheries Statistics Survey methodology and have not been calibrated.

Beginning in 2023, estimates for Hawaii are produced using certified MRIP survey designs and weighted estimation methods.

As part of the government's guidelines for statistical programs, the Office of Management and Budget requires federal agencies to establish their own criteria for statistical precision (Standard 4.1.5 in OMB Standards and Guidelines for Statistical Surveys)

Upper and lower confidence limits are calculated using a standard 95% confidence interval. The lower 95% confidence interval is truncated at 0 to match graph output.

<a href='https://www.fisheries.noaa.gov/recreational-fishing-data/recreational-fishing-data-glossary#percent-standard-error-(pse)' target='_blank'><b>PSE</b></a>, or percent standard error, is automatically included in all outputs. The higher an estimate's Percent Standard Error, or PSE, the larger the margin of error around the estimate, which means there is more uncertainty in the estimate.

Estimates with a percent standard error exceeding 50 are not statistically different from zero using a standard 95% confidence interval.  Note this significance comparison is not suggesting these estimates all equal zero, but is rather intended to illustrate their high uncertainty.

"Estimate Status","Year","Fishing Year","Common Name","Cumulative Through","PSE Observed Harvest (A)","Does Observed Harvest (A) Meet MRIP Standard","Is Observed Harvest (A) Significantly Different From 0","Observed Harvest (A)","Observed Harvest (A) Lower 95% Confidence Limit","Observed Harvest (A) Upper 95% Confidence Limit","PSE Reported Harvest (B1)","Does Reported Harvest (B1) Meet MRIP Standard","Is Reported Harvest (B1) Significantly Different From 0","Reported Harvest (B1)","Reported Harvest (B1) Lower 95% Confidence Limit","Reported Harvest (B1) Upper 95% Confidence Limit","PSE Released Alive (B2)","Does Released Alive (B2) Meet MRIP Standard","Is Released Alive (B2) Significantly Different From 0","Released Alive (B2)","Released Alive (B2) Lower 95% Confidence Limit","Released Alive (B2) Upper 95% Confidence Limit","** Contribution of Imputed Data to Observed Harvest Rate","** Contribution of Imputed Data to Reported Harvest Rate","** Contribution of Imputed Data to Released Alive Rate"
"FINAL",1992,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",13,"YES","YES",2895869,2158002,3633737,21.8,"YES","YES",1607264,920512,2294015,10,"YES","YES",7026065,5648956,8403174,"0%","0%","0%"
"FINAL",1993,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",40.1,"CAUTION","YES",3552300,760334,6344266,35.5,"CAUTION","YES",3528212,1073282,5983141,14.7,"YES","YES",5068013,3607817,6528209,"0%","0%","0%"
"FINAL",1994,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",28.2,"YES","YES",2813169,1258274,4368064,48.5,"CAUTION","YES",1356227,66998,2645457,12.3,"YES","YES",6432179,4881509,7982849,"0%","0%","0%"
"FINAL",1995,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",14.8,"YES","YES",4725866,3354987,6096745,24.4,"YES","YES",2098961,1095154,3102768,11,"YES","YES",12111324,9500123,14722526,"0%","0%","0%"
"FINAL",1996,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",22.7,"YES","YES",5859523,3252504,8466542,22.1,"YES","YES",1319093,747715,1890471,13.6,"YES","YES",6800181,4987525,8612837,"0%","0%","0%"
"FINAL",1997,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",21.5,"YES","YES",2171061,1256176,3085946,21.9,"YES","YES",4371269,2494945,6247592,10.5,"YES","YES",8988177,7138410,10837944,"0%","0%","0%"
"FINAL",1998,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",19.9,"YES","YES",1092370,666302,1518438,30.2,"CAUTION","YES",446674,182279,711069,9.8,"YES","YES",6549271,5291287,7807255,"0%","0%","0%"
"FINAL",1999,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",29.6,"YES","YES",1087699,456660,1718738,32.3,"CAUTION","YES",512033,187875,836191,9.8,"YES","YES",12462318,10068556,14856080,"0%","0%","0%"
"FINAL",2000,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",15.2,"YES","YES",2457300,1725221,3189379,16.9,"YES","YES",1794768,1200269,2389267,8.9,"YES","YES",21206772,17507463,24906081,"0%","0%","0%"
"FINAL",2001,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",21,"YES","YES",1547320,910443,2184197,24.6,"YES","YES",2721931,1409525,4034338,7.5,"YES","YES",16383359,13975005,18791713,"0%","0%","0%"
"FINAL",2002,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",16.5,"YES","YES",2068762,1399725,2737800,16.2,"YES","YES",2496615,1703890,3289340,8.9,"YES","YES",20134193,16621984,23646402,"0%","0%","0%"
"FINAL",2003,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",16.2,"YES","YES",2307443,1574784,3040102,14.6,"YES","YES",1748607,1248226,2248989,7.8,"YES","YES",14148288,11985298,16311279,"0%","0%","0%"
"FINAL",2004,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",22.2,"YES","YES",1529514,863992,2195036,28.8,"YES","YES",815932,355355,1276509,14.3,"YES","YES",10428772,7505796,13351748,"0%","0%","0%"
"FINAL",2005,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",17.5,"YES","YES",1106154,726743,1485565,27.6,"YES","YES",894430,410579,1378280,11.9,"YES","YES",10280845,7882941,12678749,"0%","0%","0%"
"FINAL",2006,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",17.9,"YES","YES",1163280,755155,1571405,20.8,"YES","YES",614145,363770,864519,10.6,"YES","YES",10901521,8636621,13166421,"0%","0%","0%"
"FINAL",2007,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",13.3,"YES","YES",1115913,825017,1406810,17.8,"YES","YES",1003039,653099,1352979,9.7,"YES","YES",12114642,9811406,14417878,"0%","0%","0%"
"FINAL",2008,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",38.5,"CAUTION","YES",1539210,377722,2700698,17.7,"YES","YES",904926,590989,1218863,15.7,"YES","YES",21321447,14760411,27882483,"0%","0%","0%"
"FINAL",2009,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",18.1,"YES","YES",1867592,1205045,2530139,15.9,"YES","YES",2045756,1408217,2683296,9.7,"YES","YES",18661777,15113800,22209754,"0%","0%","0%"
"FINAL",2010,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",29.2,"YES","YES",2645787,1131550,4160023,30.6,"CAUTION","YES",2438790,976102,3901480,23.3,"YES","YES",21110809,11469925,30751693,"0%","0%","0%"
"FINAL",2011,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",21.7,"YES","YES",629477,361748,897206,18,"YES","YES",1079832,698868,1460797,10.4,"YES","YES",10424426,8299511,12549341,"0%","0%","0%"
"FINAL",2012,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",16.1,"YES","YES",1410493,965398,1855588,16.3,"YES","YES",2276072,1548912,3003231,9.7,"YES","YES",30847464,24982744,36712184,"0%","0%","0%"
"FINAL",2013,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",14.4,"YES","YES",1659641,1191224,2128058,21.5,"YES","YES",1345773,778664,1912882,8.7,"YES","YES",22608721,18753482,26463960,"0%","0%","0%"
"FINAL",2014,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",13.8,"YES","YES",2575619,1878966,3272272,15.3,"YES","YES",1398487,979109,1817865,7.8,"YES","YES",19819789,16789740,22849839,"0%","0%","0%"
"FINAL",2015,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",10.6,"YES","YES",3122933,2474113,3771754,20.1,"YES","YES",1815650,1100356,2530943,9.9,"YES","YES",19019445,15328912,22709978,"0%","0%","0%"
"FINAL",2016,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",13.1,"YES","YES",3968794,2949767,4987822,15.2,"YES","YES",1871480,1313928,2429031,8.1,"YES","YES",29846651,25108197,34585105,"0%","0%","0%"
"FINAL",2017,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",22.3,"YES","YES",4057131,2283840,5830422,16.9,"YES","YES",1623338,1085624,2161053,10.7,"YES","YES",35337714,27926688,42748739,"0%","0%","0%"
"FINAL",2018,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",9.9,"YES","YES",2551894,2056725,3047064,11.9,"YES","YES",1433972,1099512,1768431,6.7,"YES","YES",20901747,18156930,23646565,"0%","0%","0%"
"FINAL",2019,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",10.9,"YES","YES",2325113,1828376,2821850,10.4,"YES","YES",2046108,1629030,2463187,6.7,"YES","YES",27787116,24138112,31436120,"0%","0%","0%"
"FINAL",2020,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",9.6,"YES","YES",2173837,1764808,2582866,10.1,"YES","YES",2009545,1611735,2407354,7.8,"YES","YES",29782148,25229053,34335243,"25%","19%","13%"
"FINAL",2021,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",11.2,"YES","YES",3712464,2897504,4527425,13.3,"YES","YES",2718954,2010177,3427731,7.5,"YES","YES",35986069,30696117,41276021,"2%","1%","1%"
"FINAL",2022,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",12.7,"YES","YES",3133970,2353862,3914078,14.8,"YES","YES",1399099,993249,1804950,6.5,"YES","YES",35403834,30893386,39914283,"1%","0%","0%"
"FINAL",2023,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",11.8,"YES","YES",3347764,2573493,4122035,13.3,"YES","YES",1123196,830401,1415990,7.6,"YES","YES",35237183,29988252,40486114,"1%","0%","0%"
"FINAL",2024,"CALENDAR YEAR (JAN 1 - DEC 31)","BLACK SEA BASS","ANNUAL",11.2,"YES","YES",1955258,1526040,2384476,13.8,"YES","YES",1146019,836044,1455995,6.6,"YES","YES",32276631,28101326,36451936,"0%","0%","0%"

